,Code,Abbrev,State,statehood
0,AL,Ala.,Alabama,"December 14, 1819"
1,AK,Alaska,Alaska,"January 3, 1959"
2,AZ,Ariz.,Arizona,"February 14, 1912"
3,AR,Ark.,Arkansas,"June 15, 1836"
4,CA,Calif.,California,"September 9, 1850"
5,CO,Colo.,Colorado,"August 1, 1876"
6,CT,Conn.,Connecticut,"January 9, 1788"
7,DE,Del.,Delaware,"December 7, 1787"
8,DC,D.C.,District of Columbia,"May 3, 1802"
9,FL,Fla.,Florida,"March 3, 1845"
10,GA,Ga.,Georgia,"January 2, 1788"
11,HI,Hawaii,Hawaii,"August 21, 1959"
12,ID,Idaho,Idaho,"July 3, 1890"
13,IL,Ill.,Illinois,"December 3, 1818"
14,IN,Ind.,Indiana,"December 11, 1816"
15,IA,Iowa,Iowa,"December 28, 1846"
16,KS,Kans.,Kansas,"January 29, 1861"
17,KY,Ky.,Kentucky,"June 1, 1792"
18,LA,La.,Louisiana,"April 30, 1812"
19,ME,Maine,Maine,"March 15, 1820"
20,MD,Md.,Maryland,"April 28, 1788"
21,MA,Mass.,Massachusetts,"February 6, 1788"
22,MI,Mich.,Michigan,"January 26, 1837"
23,MN,Minn.,Minnesota,"May 11, 1858"
24,MS,Miss.,Mississippi,"December 10, 1817"
25,MO,Mo.,Missouri,"August 10, 1821"
26,MT,Mont.,Montana,"November 8, 1889"
27,NE,Nebr.,Nebraska,"March 1, 1867"
28,NV,Nev.,Nevada,"October 31, 1864"
29,NH,N.H.,New Hampshire,"June 21, 1788"
30,NJ,N.J.,New Jersey,"December 18, 1787"
31,NM,N.M.,New Mexico,"January 6, 1912"
32,NY,N.Y.,New York,"July 26, 1788"
33,NC,N.C.,North Carolina,"November 21, 1789"
34,ND,N.D.,North Dakota,"November 2, 1889"
35,OH,Ohio,Ohio,"March 1, 1803"
36,OK,Okla.,Oklahoma,"November 16, 1907"
37,OR,Ore.,Oregon,"February 14, 1859"
38,PA,Pa.,Pennsylvania,"December 12, 1787"
39,RI,R.I.,Rhode Island,"May 29, 1790"
40,SC,S.C.,South Carolina,"May 23, 1788"
41,SD,S.D.,South Dakota,"November 2, 1889"
42,TN,Tenn.,Tennessee,"June 1, 1796"
43,TX,Tex.,Texas,"December 29, 1845"
44,UT,Utah,Utah,"January 4, 1896"
45,VT,Vt.,Vermont,"March 4, 1791"
46,VA,Va.,Virginia,"June 25, 1788"
47,WA,Wash.,Washington,"November 11, 1889"
48,WV,W.Va.,West Virginia,"June 20, 1863"
49,WI,Wis.,Wisconsin,"May 29, 1848"
50,WY,Wyo.,Wyoming,"July 10, 1890"
51,AS,,American Samoa,
52,FM,FSM,Federated State of Micronesia,
53,GU,Guam,Guam,
54,MI,,Marshall Islands,
55,MP,,Northern Mariana Islands,
56,PR,P.R.,Puerto Rico,
57,PW,Palau,Palau,
58,VI,V.I.,U.S. Virgin Islands,
59,UM,,U.S. Minor Outlying Islands,
